"James Harden_HOU","Chris Paul_HOU","Kyle Lowry_TOR","DeMar DeRozan_TOR","Devin Booker_PHO","Dwight Howard_CHA","Kemba Walker_CHA","TJ Warren_PHO","Clint Capela_HOU","Nicolas Batum_CHA","Serge Ibaka_TOR","Jeremy Lamb_CHA","Trevor Ariza_HOU","Marvin Williams_CHA","Eric Gordon_HOU","Greg Monroe_PHO","Jonas Valanciunas_TOR","Tyson Chandler_PHO","Alex Len_PHO","Michael Kidd-Gilchrist_CHA","Mike James_PHO","Ryan Anderson_HOU","Tyler Ulis_PHO","Josh Jackson_PHO","Marquese Chriss_PHO","Frank Kaminsky_CHA","CJ Miles_TOR","Troy Daniels_PHO","Fred VanVleet_TOR","Cody Zeller_CHA","Jared Dudley_PHO","Jakob Poeltl_TOR","Pascal Siakam_TOR","Norman Powell_TOR","PJ Tucker_HOU","Michael Carter-Williams_CHA","Malik Monk_CHA","Delon Wright_TOR","OG Anunoby_TOR","Lucas Nogueira_TOR","Dragan Bender_PHO","Nene Hilario_HOU","Luc Richard Mbah a Moute_HOU","Alan Williams_PHO","Dwayne Bacon_CHA","Bobby Brown_HOU","Tarik Black_HOU","Lorenzo Brown_TOR","Brandon Knight_PHO","Alfonzo McKinnie_TOR","Malcolm Miller_TOR","Danuel House_PHO","Davon Reed_PHO","Alec Peters_PHO","Bruno Caboclo_TOR","Julyan Stone_CHA","Johnny O'Bryant III_CHA","Briante Weber_HOU","Treveon Graham_CHA","Marcus Paige_CHA","Mangok Mathiang_CHA","Demetrius Jackson_HOU","Troy Williams_HOU","Chinanu Onuaku_HOU","Zhou Qi_HOU"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,151.520833333333,-3.34375,0,0,0,0,0,0,-24.5833333333333,0,0,0,0,0,-35.7083333333333,0,0,0,0,0,0,0,0,0,-29.3854166666667,0,-29.03125,0,0,-128.208333333333,35.9895833333333,-59.6979166666667,0,0,0,0,-1.4375,35.15625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-3.34375,2.6875,0,0,0,0,0,0,11.8125,0,0,0,0,0,-3.40625,0,0,0,0,0,0,0,0,0,6.4375,0,-2.4375,0,0,7.15625,4.46875,-8.5,0,0,0,0,13.71875,-5.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,539.810416666667,0,0,159.733333333333,0,0,0,0,0,0,0,-20.7104166666667,0,112.185416666667,-51.7145833333333,0,-115.620833333333,0,65.41875,-127.670833333333,-83.675,0,0,-45.1208333333333,0,0,3.32083333333333,0,0,0,0,0,0,0,0,0,-57.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,99.0572916666667,-79.4895833333333,0,0,-42.8125,0,42.0572916666667,0,-45.703125,0,0,0,0,0,-45.4114583333333,0,0,0,0,0,76.3020833333333,0,0,0,-52.1145833333333,0,0,0,0,0,-1.83333333333333,63.984375,0,0,0,0,0,0,0,4.375,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.265625,0,0,0,0,0,0
0,0,0,0,0,-79.4895833333333,751.229166666667,0,0,171.875,0,-183.239583333333,0,-101.09375,0,0,0,0,0,2.19791666666667,0,0,0,0,0,-52.3541666666667,0,0,0,-30.3958333333333,0,0,0,0,0,-260.958333333333,-253.96875,0,0,0,0,0,0,0,15.625,0,0,0,0,0,0,0,0,0,0,0,0,0,56.03125,0,0,0,0,0,0
0,0,0,0,159.733333333333,0,0,202.541666666667,0,0,0,0,0,0,0,-193.095833333333,0,214.258333333333,-15.5666666666667,0,-29.0291666666667,0,64.7375,-119.991666666667,-14.925,0,0,-16.1791666666667,0,0,-115.933333333333,0,0,0,0,0,0,0,0,0,39.6625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-42.8125,171.875,0,0,48.75,0,-44.3125,0,-5.9375,0,0,0,0,0,22.1875,0,0,0,0,0,-10.875,0,0,0,3.25,0,0,0,0,0,-51.25,-66.1875,0,0,0,0,0,0,0,-0.625,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1875,0,0,0,0,0,0
0,0,-24.5833333333333,11.8125,0,0,0,0,0,0,52.5833333333333,0,0,0,0,0,-12.2916666666667,0,0,0,0,0,0,0,0,0,29.7291666666667,0,-8.5625,0,0,39.4583333333333,16.8541666666667,-32.6458333333333,0,0,0,0,59.25,-24.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,42.0572916666667,-183.239583333333,0,0,-44.3125,0,55.5572916666667,0,13.1302083333333,0,0,0,0,0,1.13020833333333,0,0,0,0,0,58.46875,0,0,0,-13.0729166666667,0,0,0,0,0,56.9166666666667,73.984375,0,0,0,0,0,0,0,-5.83333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.140625,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-45.703125,-101.09375,0,0,-5.9375,0,13.1302083333333,0,49.9739583333333,0,0,0,0,0,34.2447916666667,0,0,0,0,0,-23.09375,0,0,0,35.21875,0,0,0,0,0,53.75,12.453125,0,0,0,0,0,0,0,-7.60416666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.234375,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-20.7104166666667,0,0,-193.095833333333,0,0,0,0,0,0,0,274.860416666667,0,-169.047916666667,-71.9729166666667,0,12.9708333333333,0,-104.64375,109.245833333333,-19.075,0,0,-18.6791666666667,0,0,156.066666666667,0,0,0,0,0,0,0,0,0,-62.2375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-35.7083333333333,-3.40625,0,0,0,0,0,0,-12.2916666666667,0,0,0,0,0,15.1458333333333,0,0,0,0,0,0,0,0,0,-2.36458333333333,0,11.78125,0,0,23.2708333333333,-16.9270833333333,29.8229166666667,0,0,0,0,-21.625,-1.40625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,112.185416666667,0,0,214.258333333333,0,0,0,0,0,0,0,-169.047916666667,0,339.260416666667,-131.439583333333,0,-20.1583333333333,0,1.89375,-99.8458333333333,-13.35,0,0,-36.1833333333333,0,0,-109.316666666667,0,0,0,0,0,0,0,0,0,68.0125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-51.7145833333333,0,0,-15.5666666666667,0,0,0,0,0,0,0,-71.9729166666667,0,-131.439583333333,180.685416666667,0,6.89166666666667,0,49.33125,-48.8458333333333,-4.15,0,0,65.3916666666667,0,0,-13.7791666666667,0,0,0,0,0,0,0,0,0,-21.6375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-45.4114583333333,2.19791666666667,0,0,22.1875,0,1.13020833333333,0,34.2447916666667,0,0,0,0,0,54.890625,0,0,0,0,0,34.4895833333333,0,0,0,10.8854166666667,0,0,0,0,0,15.4791666666667,-12.359375,0,0,0,0,0,0,0,-11.7708333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.484375,0,0,0,0,0,0
0,0,0,0,-115.620833333333,0,0,-29.0291666666667,0,0,0,0,0,0,0,12.9708333333333,0,-20.1583333333333,6.89166666666667,0,36.7916666666667,0,-24.4125,15.9666666666667,11.2,0,0,4.01666666666667,0,0,-1.97916666666667,0,0,0,0,0,0,0,0,0,10.5375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,65.41875,0,0,64.7375,0,0,0,0,0,0,0,-104.64375,0,1.89375,49.33125,0,-24.4125,0,96.01875,-13.3875,24.525,0,0,-8.7,0,0,-67.7625,0,0,0,0,0,0,0,0,0,15.175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-127.670833333333,0,0,-119.991666666667,0,0,0,0,0,0,0,109.245833333333,0,-99.8458333333333,-48.8458333333333,0,15.9666666666667,0,-13.3875,131.541666666667,47.3,0,0,-25.0333333333333,0,0,42.8083333333333,0,0,0,0,0,0,0,0,0,4.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-83.675,0,0,-14.925,0,0,0,0,0,0,0,-19.075,0,-13.35,-4.15,0,11.2,0,24.525,47.3,36.7,0,0,-10.35,0,0,-25.225,0,0,0,0,0,0,0,0,0,23.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,76.3020833333333,-52.3541666666667,0,0,-10.875,0,58.46875,0,-23.09375,0,0,0,0,0,34.4895833333333,0,0,0,0,0,209.895833333333,0,0,0,-76.9375,0,0,0,0,0,-1.41666666666667,61.53125,0,0,0,0,0,0,0,-15.4166666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,-45.71875,0,0,0,0,0,0
0,0,-29.3854166666667,6.4375,0,0,0,0,0,0,29.7291666666667,0,0,0,0,0,-2.36458333333333,0,0,0,0,0,0,0,0,0,18.5208333333333,0,-1.1875,0,0,34.4479166666667,4.67708333333333,-10.1666666666667,0,0,0,0,30.59375,-16.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-45.1208333333333,0,0,-16.1791666666667,0,0,0,0,0,0,0,-18.6791666666667,0,-36.1833333333333,65.3916666666667,0,4.01666666666667,0,-8.7,-25.0333333333333,-10.35,0,0,40.0666666666667,0,0,11.0333333333333,0,0,0,0,0,0,0,0,0,-9.5125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-29.03125,-2.4375,0,0,0,0,0,0,-8.5625,0,0,0,0,0,11.78125,0,0,0,0,0,0,0,0,0,-1.1875,0,9.1875,0,0,19.46875,-13.09375,23,0,0,0,0,-15.84375,-1.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-52.1145833333333,-30.3958333333333,0,0,3.25,0,-13.0729166666667,0,35.21875,0,0,0,0,0,10.8854166666667,0,0,0,0,0,-76.9375,0,0,0,43.5208333333333,0,0,0,0,0,27.7291666666667,-15.90625,0,0,0,0,0,0,0,0.208333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,6.53125,0,0,0,0,0,0
0,0,0,0,3.32083333333333,0,0,-115.933333333333,0,0,0,0,0,0,0,156.066666666667,0,-109.316666666667,-13.7791666666667,0,-1.97916666666667,0,-67.7625,42.8083333333333,-25.225,0,0,11.0333333333333,0,0,105.541666666667,0,0,0,0,0,0,0,0,0,-47.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-128.208333333333,7.15625,0,0,0,0,0,0,39.4583333333333,0,0,0,0,0,23.2708333333333,0,0,0,0,0,0,0,0,0,34.4479166666667,0,19.46875,0,0,115.645833333333,-21.7395833333333,34.2604166666667,0,0,0,0,23.875,-36.84375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,35.9895833333333,4.46875,0,0,0,0,0,0,16.8541666666667,0,0,0,0,0,-16.9270833333333,0,0,0,0,0,0,0,0,0,4.67708333333333,0,-13.09375,0,0,-21.7395833333333,19.1458333333333,-33.9479166666667,0,0,0,0,27.21875,-0.28125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-59.6979166666667,-8.5,0,0,0,0,0,0,-32.6458333333333,0,0,0,0,0,29.8229166666667,0,0,0,0,0,0,0,0,0,-10.1666666666667,0,23,0,0,34.2604166666667,-33.9479166666667,60.3958333333333,0,0,0,0,-50.84375,2.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-1.83333333333333,-260.958333333333,0,0,-51.25,0,56.9166666666667,0,53.75,0,0,0,0,0,15.4791666666667,0,0,0,0,0,-1.41666666666667,0,0,0,27.7291666666667,0,0,0,0,0,100.291666666667,76.5,0,0,0,0,0,0,0,-7.8125,0,0,0,0,0,0,0,0,0,0,0,0,0,-21.3125,0,0,0,0,0,0
0,0,0,0,0,63.984375,-253.96875,0,0,-66.1875,0,73.984375,0,12.453125,0,0,0,0,0,-12.359375,0,0,0,0,0,61.53125,0,0,0,-15.90625,0,0,0,0,0,76.5,102.515625,0,0,0,0,0,0,0,-4.6875,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.171875,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-1.4375,13.71875,0,0,0,0,0,0,59.25,0,0,0,0,0,-21.625,0,0,0,0,0,0,0,0,0,30.59375,0,-15.84375,0,0,23.875,27.21875,-50.84375,0,0,0,0,71.6875,-22.78125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,35.15625,-5.0625,0,0,0,0,0,0,-24.1875,0,0,0,0,0,-1.40625,0,0,0,0,0,0,0,0,0,-16.3125,0,-1.6875,0,0,-36.84375,-0.28125,2.25,0,0,0,0,-22.78125,15.1875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-57.95,0,0,39.6625,0,0,0,0,0,0,0,-62.2375,0,68.0125,-21.6375,0,10.5375,0,15.175,4.65,23.425,0,0,-9.5125,0,0,-47.8,0,0,0,0,0,0,0,0,0,35.025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,4.375,15.625,0,0,-0.625,0,-5.83333333333333,0,-7.60416666666667,0,0,0,0,0,-11.7708333333333,0,0,0,0,0,-15.4166666666667,0,0,0,0.208333333333333,0,0,0,0,0,-7.8125,-4.6875,0,0,0,0,0,0,0,3.125,0,0,0,0,0,0,0,0,0,0,0,0,0,6.875,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,-3.265625,56.03125,0,0,6.1875,0,-21.140625,0,-13.234375,0,0,0,0,0,-21.484375,0,0,0,0,0,-45.71875,0,0,0,6.53125,0,0,0,0,0,-21.3125,-22.171875,0,0,0,0,0,0,0,6.875,0,0,0,0,0,0,0,0,0,0,0,0,0,17.015625,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
