"LeBron James_CLE","Giannis Antetokounmpo_MIL","DeMarcus Cousins_NO","Anthony Davis_NO","Joel Embiid_PHI","Ben Simmons_PHI","John Wall_WAS","Kevin Love_CLE","Bradley Beal_WAS","Khris Middleton_MIL","Jrue Holiday_NO","Eric Bledsoe_MIL","Zach Randolph_SAC","Isaiah Thomas_CLE","Robert Covington_PHI","Dario Saric_PHI","Rajon Rondo_NO","Otto Porter_WAS","JJ Redick_PHI","Willie Cauley-Stein_SAC","Jabari Parker_MIL","Dwyane Wade_CLE","Malcolm Brogdon_MIL","Kelly Oubre_WAS","Marcin Gortat_WAS","Markieff Morris_WAS","E'Twaun Moore_NO","Buddy Hield_SAC","George Hill_SAC","Mike Scott_WAS","John Henson_MIL","Richaun Holmes_PHI","De'Aaron Fox_SAC","Bogdan Bogdanovic_SAC","Jeff Green_CLE","Trevor Booker_PHI","TJ McConnell_PHI","JR Smith_CLE","Frank Mason III_SAC","Markelle Fultz_PHI","Amir Johnson_PHI","Jose Calderon_CLE","Tony Snell_MIL","Garrett Temple_SAC","Kyle Korver_CLE","Tomas Satoransky_WAS","Tim Frazier_WAS","Dante Cunningham_NO","Iman Shumpert_CLE","Jae Crowder_CLE","Tristan Thompson_CLE","Darius Miller_NO","Jameer Nelson_NO","Ian Mahinmi_WAS","Jerryd Bayless_PHI","Kosta Koufos_SAC","Thon Maker_MIL","Derrick Rose_CLE","DeAndre Liggins_MIL","Jakarr Sampson_SAC","Skal Labissiere_SAC","Mirza Teletovic_MIL","Matthew Dellavedova_MIL","Channing Frye_CLE","Jodie Meeks_WAS","Tony Allen_NO","Vince Carter_SAC","Ian Clark_NO","Jason Smith_WAS","Sheldon Mac_WAS","Mike Young_WAS","Devin Robinson_WAS","Chris McCullough_WAS","Solomon Hill_NO","Alexis Ajinca_NO","Omer Asik_NO","Jalen Jones_NO","Charles Cooke_NO","Cheick Diallo_NO","Frank Jackson_NO","Timothe Luwawu-Cabarrot_PHI","Georgios Papagiannis_SAC","Harry Giles_SAC","Jack Cooley_SAC","Justin Jackson_SAC","Malachi Richardson_SAC","Furkan Korkmaz_PHI","Justin Anderson_PHI","James Michael McAdoo_PHI","Jacob Pullen_PHI","Gary Payton II_MIL","Rashad Vaughn_MIL","DJ Wilson_MIL","Sterling Brown_MIL","Joel Bolomboy_MIL","Jason Terry_MIL","John Holland_CLE","London Perrantes_CLE","Cedi Osman_CLE","Ante Zizic_CLE"
64.5669642857143,0,0,0,0,0,0,-7.92410714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,-64.78125,0,0,0,0,0,0,0,0,0,0,0,0,-13.7209821428571,0,0,3.50892857142857,0,0,0,31.6785714285714,0,0,14.1517857142857,0,0,0,0,-7.90625,2.90625,0,0,0,0,0,0,0,0,0,0,0,0,9.48214285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8236607142857,-9.93080357142857
0,32.3898809523809,0,0,0,0,0,0,0,-19.0029761904762,0,-7.83184523809524,0,0,0,0,0,0,0,0,0,0,-4.56398809523809,0,0,0,0,0,0,0,7.60416666666667,0,0,0,0,0,0,0,0,0,0,0,6.40476190476191,0,0,0,0,0,0,0,0,0,0,0,0,0,17.7901785714286,0,-10.6264880952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.8452380952381,-25.1964285714286,1.65178571428571,-5.58035714285714,5.22321428571429,13.3452380952381,0,0,0,0
0,0,181.285416666667,-138.789583333333,0,0,0,0,0,0,29.3104166666667,0,0,0,0,0,19.0645833333333,0,0,0,0,0,0,0,0,0,24.7375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46.1916666666667,0,0,0,-18.50625,16.0895833333333,0,0,0,0,0,0,0,0,0,0,0,0,1.1625,0,-12.5958333333333,0,0,0,0,0,0,0,34.8666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-138.789583333333,482.410416666667,0,0,0,0,0,0,-99.2895833333333,0,0,0,0,0,-96.5354166666667,0,0,0,0,0,0,0,0,0,31.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-161.208333333333,0,0,0,43.89375,30.2395833333333,0,0,0,0,0,0,0,0,0,0,0,0,-65.2625,0,-19.4958333333333,0,0,0,0,0,0,0,-101.520833333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,589.325,61.3,0,0,0,0,0,0,0,0,-53.1,-45.51875,0,0,-85.96875,0,0,0,0,0,0,0,0,0,0,0,0,-31.625,0,0,0,0,110.5875,0,0,0,-184.3875,0,0,0,0,0,0,0,0,0,0,0,0,0,-40.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-91.68125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,61.3,317.6375,0,0,0,0,0,0,0,0,77.896875,56.6125,0,0,-114.03125,0,0,0,0,0,0,0,0,0,0,0,0,-179.703125,0,0,0,0,-44.86875,0,0,0,-7.1125,0,0,0,0,0,0,0,0,0,0,0,0,0,61.00625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.540625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,94.7232142857143,0,22.3779761904762,0,0,0,0,0,0,0,0,16.5535714285714,0,0,0,0,0,-15.0208333333333,26.9761904761905,-62.9955357142857,0,0,0,16.5535714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-51.0401785714286,-32.9538690476191,0,0,0,0,0,0,-39.2380952380952,0,0,0,0,0,0,0,0,0,0,12.4151785714286,0,0,0,26.2098214285714,0,0,0,-13.3348214285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-7.92410714285714,0,0,0,0,0,0,96.5848214285714,0,0,0,0,0,0,0,0,0,0,0,0,0,52.5133928571429,0,0,0,0,0,0,0,0,0,0,0,0,-14.8727678571429,0,0,7.14285714285714,0,0,0,23.4285714285714,0,0,-22.9732142857143,0,0,0,0,-18.1651785714286,-24.46875,0,0,0,0,0,0,0,0,0,0,0,0,-12.2678571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30.4352678571429,-2.51116071428571
0,0,0,0,0,0,22.3779761904762,0,247.383928571429,0,0,0,0,0,0,0,0,-54.0476190476191,0,0,0,0,0,68.1770833333333,-4.21726190476191,-36.2366071428571,0,0,0,67.9523809523809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-39.1934523809524,28.5967261904762,0,0,0,0,0,0,-19.3497023809524,0,0,0,0,0,0,0,0,0,0,-9.93154761904762,0,0,0,21.702380952381,0,0,0,-27.358630952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-19.0029761904762,0,0,0,0,0,0,0,56.3630952380952,0,-19.4627976190476,0,0,0,0,0,0,0,0,0,0,-15.953869047619,0,0,0,0,0,0,0,-8.08333333333333,0,0,0,0,0,0,0,0,0,0,0,-29.1309523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.453869047619,0,1.74404761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94345238095238,8.23511904761905,-17.4553571428571,4.24107142857143,2.47619047619048,-22.0357142857143,0,0,0,0
0,0,29.3104166666667,-99.2895833333333,0,0,0,0,0,0,74.8354166666667,0,0,0,0,0,-25.2604166666667,0,0,0,0,0,0,0,0,0,5.5375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.1916666666667,0,0,0,-24.33125,1.18958333333333,0,0,0,0,0,0,0,0,0,0,0,0,6.7125,0,4.80416666666667,0,0,0,0,0,0,0,13.0916666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,-7.83184523809524,0,0,0,0,0,0,0,-19.4627976190476,0,29.5386904761905,0,0,0,0,0,0,0,0,0,0,-6.40327380952381,0,0,0,0,0,0,0,19.4166666666667,0,0,0,0,0,0,0,0,0,0,0,19.6279761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,6.03422619047619,0,1.43005952380952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.9821428571429,2.00744047619048,10.7589285714286,-13.3184523809524,-1.50892857142857,9.77827380952381,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,132.455357142857,0,0,0,0,0,0,-71.4345238095238,0,0,0,0,0,0,0,19.733630952381,53.2693452380952,0,0,0,29.891369047619,45.1636904761905,0,0,0,0,-13.4657738095238,0,0,0,0,-7.65625,0,0,0,0,0,0,0,0,0,0,0,16.1383928571429,0,0,0,0,-48.2142857142857,0,0,0,0,0,-2.28422619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.66666666666667,-9.90476190476191,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-53.1,77.896875,0,0,0,0,0,0,0,0,317.925,-24.50625,0,0,-16.265625,0,0,0,0,0,0,0,0,0,0,0,0,-242.859375,0,0,0,0,-108.16875,0,0,0,110.00625,0,0,0,0,0,0,0,0,0,0,0,0,0,33.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.48125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-45.51875,56.6125,0,0,0,0,0,0,0,0,-24.50625,30.85625,0,0,-23.984375,0,0,0,0,0,0,0,0,0,0,0,0,5.3125,0,0,0,0,1.275,0,0,0,10.89375,0,0,0,0,0,0,0,0,0,0,0,0,0,20.321875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.94375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,19.0645833333333,-96.5354166666667,0,0,0,0,0,0,-25.2604166666667,0,0,0,0,0,120.485416666667,0,0,0,0,0,0,0,0,0,51.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.6708333333333,0,0,0,7.11875,-27.5520833333333,0,0,0,0,0,0,0,0,0,0,0,0,-13.2,0,0.245833333333333,0,0,0,0,0,0,0,29.9083333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,16.5535714285714,0,-54.0476190476191,0,0,0,0,0,0,0,0,47.2261904761905,0,0,0,0,0,-20.4583333333333,45.1622023809524,36.1681547619048,0,0,0,14.2053571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8824404761905,10.6889880952381,0,0,0,0,0,0,13.6116071428571,0,0,0,0,0,0,0,0,0,0,-22.0178571428571,0,0,0,-13.1071428571429,0,0,0,-18.5491071428571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-85.96875,-114.03125,0,0,0,0,0,0,0,0,-16.265625,-23.984375,0,0,58.46875,0,0,0,0,0,0,0,0,0,0,0,0,53.609375,0,0,0,0,-7.3125,0,0,0,14.875,0,0,0,0,0,0,0,0,0,0,0,0,0,-22.890625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.53125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-71.4345238095238,0,0,0,0,0,0,210.41369047619,0,0,0,0,0,0,0,-164.421130952381,14.7931547619048,0,0,0,16.0044642857143,3.53422619047619,0,0,0,0,-6.72172619047619,0,0,0,0,44.6875,0,0,0,0,0,0,0,0,0,0,0,-24.8571428571429,0,0,0,0,97.0580357142857,0,0,0,0,0,45.3779761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.375,2.23809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-64.78125,0,0,0,0,0,0,52.5133928571429,0,0,0,0,0,0,0,0,0,0,0,0,0,157.299107142857,0,0,0,0,0,0,0,0,0,0,0,0,1.43973214285714,0,0,-12.625,0,0,0,-67.0803571428571,0,0,-37.7857142857143,0,0,0,0,-0.870535714285714,-2.71875,0,0,0,0,0,0,0,0,0,0,0,0,-23.4910714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-17.4888392857143,-6.85044642857143
0,-4.56398809523809,0,0,0,0,0,0,0,-15.953869047619,0,-6.40327380952381,0,0,0,0,0,0,0,0,0,0,36.8928571428571,0,0,0,0,0,0,0,-7.125,0,0,0,0,0,0,0,0,0,0,0,-11.7113095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2053571428571,0,11.3824404761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.29464285714286,17.5550595238095,3.30357142857143,24.2559523809524,-3.36607142857143,-9.27827380952381,0,0,0,0
0,0,0,0,0,0,-15.0208333333333,0,68.1770833333333,0,0,0,0,0,0,0,0,-20.4583333333333,0,0,0,0,0,81.375,-40.7708333333333,-31.9895833333333,0,0,0,11.3958333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.0625,3.61458333333333,0,0,0,0,0,0,32.5416666666667,0,0,0,0,0,0,0,0,0,0,50.9270833333333,0,0,0,-14.7604166666667,0,0,0,7.71875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,26.9761904761905,0,-4.21726190476191,0,0,0,0,0,0,0,0,45.1622023809524,0,0,0,0,0,-40.7708333333333,86.0714285714286,81.4761904761905,0,0,0,16.9434523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.14136904761905,39.2157738095238,0,0,0,0,0,0,-5.42113095238095,0,0,0,0,0,0,0,0,0,0,-56.6517857142857,0,0,0,-3.83779761904762,0,0,0,-31.5580357142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,-62.9955357142857,0,-36.2366071428571,0,0,0,0,0,0,0,0,36.1681547619048,0,0,0,0,0,-31.9895833333333,81.4761904761905,188.744047619048,0,0,0,-22.9464285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.2931547619048,88.6294642857143,0,0,0,0,0,0,43.8244047619048,0,0,0,0,0,0,0,0,0,0,-85.4806547619048,0,0,0,-50.8839285714286,0,0,0,-9.13690476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,24.7375,31.0625,0,0,0,0,0,0,5.5375,0,0,0,0,0,51.325,0,0,0,0,0,0,0,0,0,102.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1625,0,0,0,2.025,-4.8625,0,0,0,0,0,0,0,0,0,0,0,0,-51.05,0,-9.125,0,0,0,0,0,0,0,3.9625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,19.733630952381,0,0,0,0,0,0,-164.421130952381,0,0,0,0,0,0,0,165.508928571429,-28.6904761904762,0,0,0,-2.2172619047619,-21.9017857142857,0,0,0,0,27.328869047619,0,0,0,0,-34.6666666666667,0,0,0,0,0,0,0,0,0,0,0,-9.93154761904762,0,0,0,0,-78.5014880952381,0,0,0,0,0,-50.8080357142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.625,-0.476190476190476,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,53.2693452380952,0,0,0,0,0,0,14.7931547619048,0,0,0,0,0,0,0,-28.6904761904762,106.285714285714,0,0,0,-23.8199404761905,29.1130952380952,0,0,0,0,2.69940476190476,0,0,0,0,-62.3958333333333,0,0,0,0,0,0,0,0,0,0,0,59.9910714285714,0,0,0,0,-3.10714285714286,0,0,0,0,0,9.81101190476191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.29166666666667,-9.11904761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,16.5535714285714,0,67.9523809523809,0,0,0,0,0,0,0,0,14.2053571428571,0,0,0,0,0,11.3958333333333,16.9434523809524,-22.9464285714286,0,0,0,77.9761904761905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-13.8988095238095,6.15773809523809,0,0,0,0,0,0,2.83035714285714,0,0,0,0,0,0,0,0,0,0,-34.2678571428571,0,0,0,4.08035714285714,0,0,0,-39.1220238095238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,7.60416666666667,0,0,0,0,0,0,0,-8.08333333333333,0,19.4166666666667,0,0,0,0,0,0,0,0,0,0,-7.125,0,0,0,0,0,0,0,61.4375,0,0,0,0,0,0,0,0,0,0,0,-13.7291666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6666666666667,0,3.14583333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4583333333333,1.39583333333333,0.9375,-8.33333333333333,8.66666666666667,-3.84375,0,0,0,0
0,0,0,0,-31.625,-179.703125,0,0,0,0,0,0,0,0,-242.859375,5.3125,0,0,53.609375,0,0,0,0,0,0,0,0,0,0,0,0,242.84375,0,0,0,0,89.4375,0,0,0,-51.59375,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.90625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-15.453125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,29.891369047619,0,0,0,0,0,0,16.0044642857143,0,0,0,0,0,0,0,-2.2172619047619,-23.8199404761905,0,0,0,79.9047619047619,24.5372023809524,0,0,0,0,-9.27678571428571,0,0,0,0,53.0416666666667,0,0,0,0,0,0,0,0,0,0,0,-66.0997023809524,0,0,0,0,-7.32142857142857,0,0,0,0,0,-9.08779761904762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.875,-5.19047619047619,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,45.1636904761905,0,0,0,0,0,0,3.53422619047619,0,0,0,0,0,0,0,-21.9017857142857,29.1130952380952,0,0,0,24.5372023809524,32.8720238095238,0,0,0,0,-18.8407738095238,0,0,0,0,-0.40625,0,0,0,0,0,0,0,0,0,0,0,6.77380952380952,0,0,0,0,-5.73511904761905,0,0,0,0,0,0.12202380952381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.75,-6.23809523809524,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-13.7209821428571,0,0,0,0,0,0,-14.8727678571429,0,0,0,0,0,0,0,0,0,0,0,0,0,1.43973214285714,0,0,0,0,0,0,0,0,0,0,0,0,16.3560267857143,0,0,-8.38392857142857,0,0,0,-18.5491071428571,0,0,2.02232142857143,0,0,0,0,11.578125,-2.765625,0,0,0,0,0,0,0,0,0,0,0,0,2.51785714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.88950892857143,5.68415178571429
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,110.5875,-44.86875,0,0,0,0,0,0,0,0,-108.16875,1.275,0,0,-7.3125,0,0,0,0,0,0,0,0,0,0,0,0,89.4375,0,0,0,0,62.55,0,0,0,-54.525,0,0,0,0,0,0,0,0,0,0,0,0,0,-16.85625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.14375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3.50892857142857,0,0,0,0,0,0,7.14285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.625,0,0,0,0,0,0,0,0,0,0,0,0,-8.38392857142857,0,0,47.6607142857143,0,0,0,-15.3125,0,0,19.4910714285714,0,0,0,0,-33.4464285714286,-9.75,0,0,0,0,0,0,0,0,0,0,0,0,13.2767857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26.4017857142857,-3.9375
0,0,0,0,0,0,0,0,0,0,0,0,-13.4657738095238,0,0,0,0,0,0,-6.72172619047619,0,0,0,0,0,0,0,27.328869047619,2.69940476190476,0,0,0,-9.27678571428571,-18.8407738095238,0,0,0,0,23.8095238095238,0,0,0,0,-9.42708333333333,0,0,0,0,0,0,0,0,0,0,0,-8.19047619047619,0,0,0,0,-5.56696428571429,0,0,0,0,0,-1.70535714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.125,1.07142857142857,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,-184.3875,-7.1125,0,0,0,0,0,0,0,0,110.00625,10.89375,0,0,14.875,0,0,0,0,0,0,0,0,0,0,0,0,-51.59375,0,0,0,0,-54.525,0,0,0,94.325,0,0,0,0,0,0,0,0,0,0,0,0,0,25.19375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31.6785714285714,0,0,0,0,0,0,23.4285714285714,0,0,0,0,0,0,0,0,0,0,0,0,0,-67.0803571428571,0,0,0,0,0,0,0,0,0,0,0,0,-18.5491071428571,0,0,-15.3125,0,0,0,131.607142857143,0,0,-9.82142857142857,0,0,0,0,24.375,1.3125,0,0,0,0,0,0,0,0,0,0,0,0,-19.5714285714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.6651785714286,6.95982142857143
0,6.40476190476191,0,0,0,0,0,0,0,-29.1309523809524,0,19.6279761904762,0,0,0,0,0,0,0,0,0,0,-11.7113095238095,0,0,0,0,0,0,0,-13.7291666666667,0,0,0,0,0,0,0,0,0,0,0,47.3928571428571,0,0,0,0,0,0,0,0,0,0,0,0,0,7.26785714285714,0,-11.0863095238095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34.8095238095238,-30.0595238095238,13.9285714285714,-16.3690476190476,-8.51190476190476,32.7738095238095,0,0,0,0
