"","2017-11-27","2017-11-28","2017-11-29","2017-11-30","2017-12-01","2017-12-02","2017-12-04","2017-12-05","2017-12-06","2017-12-12","2017-12-13","2017-12-14","2017-12-16"
"LeBron James_CLE",NA,58,NA,59,NA,55.5,44.75,NA,69.75,64.75,NA,68.5,62.25
"Giannis Antetokounmpo_MIL",NA,57.25,NA,50.75,NA,65.25,55.25,NA,49,NA,60.75,NA,53.25
"DeMarcus Cousins_NO",NA,NA,42.5,NA,49.25,50,58.75,NA,81,NA,52.75,NA,NA
"Anthony Davis_NO",NA,NA,22.25,NA,39.5,0,0,NA,0,NA,49,NA,NA
"Joel Embiid_PHI",NA,NA,58.5,0,NA,38,49.5,NA,NA,58,NA,NA,NA
"Ben Simmons_PHI",NA,NA,66,40.5,NA,28.5,51,NA,NA,21.25,NA,NA,NA
"John Wall_WAS",NA,0,0,NA,0,NA,0,0,NA,0,25.75,NA,NA
"Kevin Love_CLE",NA,56.75,NA,49,NA,39.25,45.25,NA,38.75,37.5,NA,54.75,27.25
"Bradley Beal_WAS",NA,21,31.5,NA,18,NA,13.25,59.25,NA,39.5,36.5,NA,NA
"Khris Middleton_MIL",NA,22,NA,43.75,NA,30.5,42.5,NA,36.75,NA,38.25,NA,38
"Jrue Holiday_NO",NA,NA,42.75,NA,24.5,33.75,50,NA,40.25,NA,36.5,NA,NA
"Eric Bledsoe_MIL",NA,42.25,NA,37.75,NA,30.5,28.75,NA,36.75,NA,32.25,NA,27.25
"Zach Randolph_SAC",23,18.75,NA,NA,48.75,33.25,NA,NA,48,34.75,NA,28.75,NA
"Isaiah Thomas_CLE",NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0
"Robert Covington_PHI",NA,NA,28.5,20.25,NA,49.5,28.5,NA,NA,0,NA,NA,NA
"Dario Saric_PHI",NA,NA,39,38.5,NA,27.25,28.75,NA,NA,30.5,NA,NA,NA
"Rajon Rondo_NO",NA,NA,15.75,NA,40.5,38.5,38.75,NA,28.5,NA,18.25,NA,NA
"Otto Porter_WAS",NA,33.5,21,NA,38.25,NA,24,22,NA,21.75,31.25,NA,NA
"JJ Redick_PHI",NA,NA,15.5,33.25,NA,33,30.25,NA,NA,33,NA,NA,NA
"Willie Cauley-Stein_SAC",43,23.5,NA,NA,28.75,5,NA,NA,0,23.5,NA,17.25,NA
"Jabari Parker_MIL",NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0
"Dwyane Wade_CLE",NA,32.75,NA,38.5,NA,29.5,35,NA,15.25,0,NA,21,22.5
"Malcolm Brogdon_MIL",NA,25.5,NA,16.75,NA,21.75,17.5,NA,24.25,NA,19.75,NA,34.5
"Kelly Oubre_WAS",NA,29.5,39.75,NA,19.75,NA,11.25,30,NA,26.25,22,NA,NA
"Marcin Gortat_WAS",NA,19.25,12,NA,40.5,NA,20.25,26.75,NA,20.25,30.5,NA,NA
"Markieff Morris_WAS",NA,7,9.5,NA,41.25,NA,15.75,22.5,NA,6.75,0,NA,NA
"E'Twaun Moore_NO",NA,NA,11,NA,30.25,22.75,39.5,NA,22.75,NA,34.25,NA,NA
"Buddy Hield_SAC",6.75,17.5,NA,NA,1.5,36,NA,NA,34,17.5,NA,14.25,NA
"George Hill_SAC",21.5,7.5,NA,NA,22.75,8.5,NA,NA,27.25,36.75,NA,24,NA
"Mike Scott_WAS",NA,25.25,2.75,NA,10.25,NA,4.75,23.75,NA,15.75,18.25,NA,NA
"John Henson_MIL",NA,22.25,NA,29.5,NA,24,6.75,NA,21,NA,29.5,NA,17.5
"Richaun Holmes_PHI",NA,NA,0,17.75,NA,0,0,NA,NA,34.75,NA,NA,NA
"De'Aaron Fox_SAC",20,7.25,NA,NA,24.25,27.5,NA,NA,10.25,12,NA,4,NA
"Bogdan Bogdanovic_SAC",18,11.5,NA,NA,29.75,22,NA,NA,18.5,24.75,NA,21.5,NA
"Jeff Green_CLE",NA,15.5,NA,22.25,NA,21.5,27.5,NA,24.75,21.75,NA,16.25,19.25
"Trevor Booker_PHI",NA,NA,NA,NA,NA,NA,NA,NA,NA,31.75,NA,NA,NA
"TJ McConnell_PHI",NA,NA,7.5,0,NA,0,0,NA,NA,18,NA,NA,NA
"JR Smith_CLE",NA,24.25,NA,13.75,NA,33.25,13,NA,18.75,22.25,NA,19.5,13.25
"Frank Mason III_SAC",24.75,21.5,NA,NA,12.25,18.75,NA,NA,26,20.5,NA,15.5,NA
"Markelle Fultz_PHI",NA,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA
"Amir Johnson_PHI",NA,NA,12.5,25,NA,24.5,8,NA,NA,3.5,NA,NA,NA
"Jose Calderon_CLE",NA,9.5,NA,6.5,NA,1.5,13,NA,3.5,25.25,NA,35.25,14.5
"Tony Snell_MIL",NA,19,NA,8,NA,10.5,12.5,NA,5,NA,0,NA,0
"Garrett Temple_SAC",25.75,21.5,NA,NA,28.25,24,NA,NA,12.5,4,NA,11.75,NA
"Kyle Korver_CLE",NA,16.5,NA,13.75,NA,24,14,NA,23.25,23.75,NA,15.75,18
"Tomas Satoransky_WAS",NA,24.75,26.5,NA,31,NA,13.5,17,NA,18.5,8,NA,NA
"Tim Frazier_WAS",NA,9.25,10.75,NA,24.75,NA,8,21.75,NA,12.25,5.5,NA,NA
"Dante Cunningham_NO",NA,NA,10.5,NA,4.75,26,26.75,NA,20,NA,13,NA,NA
"Iman Shumpert_CLE",NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0
"Jae Crowder_CLE",NA,1.5,NA,23,NA,7.5,18.5,NA,8,17.75,NA,14,17.25
"Tristan Thompson_CLE",NA,0,NA,0,NA,0,0,NA,0,0,NA,0,10.5
"Darius Miller_NO",NA,NA,17,NA,23,19.5,15,NA,16,NA,19.75,NA,NA
"Jameer Nelson_NO",NA,NA,16.75,NA,14.25,12.75,13,NA,19.25,NA,20.25,NA,NA
"Ian Mahinmi_WAS",NA,17.5,15.5,NA,14.25,NA,4.75,12,NA,0,0,NA,NA
"Jerryd Bayless_PHI",NA,NA,20.75,18.5,NA,14.5,12.75,NA,NA,9,NA,NA,NA
"Kosta Koufos_SAC",1.5,12.25,NA,NA,10.5,0.25,NA,NA,15.75,22.5,NA,24,NA
"Thon Maker_MIL",NA,14.25,NA,6.5,NA,12.25,1.25,NA,1.75,NA,9.5,NA,9.5
"Derrick Rose_CLE",NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0
"DeAndre Liggins_MIL",NA,7.25,NA,7.75,NA,5.5,4.75,NA,12.5,NA,7.5,NA,11.5
"Jakarr Sampson_SAC",0,0,NA,NA,0,0,NA,NA,0,0,NA,0,NA
"Skal Labissiere_SAC",18.5,18.5,NA,NA,14.5,2.75,NA,NA,0,13.5,NA,10.75,NA
"Mirza Teletovic_MIL",NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0
"Matthew Dellavedova_MIL",NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,0
"Channing Frye_CLE",NA,9.5,NA,7.25,NA,11,4.5,NA,13.25,12.75,NA,3.25,6.5
"Jodie Meeks_WAS",NA,14,31,NA,7.75,NA,7.5,0.5,NA,25.5,17.75,NA,NA
"Tony Allen_NO",NA,NA,13.25,NA,2.5,11,2.25,NA,10,NA,0,NA,NA
"Vince Carter_SAC",16.75,4.5,NA,NA,11.5,0,NA,NA,9,0,NA,15,NA
"Ian Clark_NO",NA,NA,3.5,NA,0,4,2,NA,0,NA,0,NA,NA
"Jason Smith_WAS",NA,0,0,NA,0,NA,4.5,0,NA,18.75,11,NA,NA
"Sheldon Mac_WAS",NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA
"Mike Young_WAS",NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA
"Devin Robinson_WAS",NA,0,0,NA,0,NA,0,0,NA,0,0,NA,NA
"Chris McCullough_WAS",NA,0,12.5,NA,0,NA,9.25,0,NA,0,0,NA,NA
"Solomon Hill_NO",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA,NA
"Alexis Ajinca_NO",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA,NA
"Omer Asik_NO",NA,NA,0,NA,0,11.25,7.75,NA,8.5,NA,0,NA,NA
"Jalen Jones_NO",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA,NA
"Charles Cooke_NO",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA,NA
"Cheick Diallo_NO",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA,NA
"Frank Jackson_NO",NA,NA,0,NA,0,0,0,NA,0,NA,0,NA,NA
"Timothe Luwawu-Cabarrot_PHI",NA,NA,8.25,17.5,NA,8.5,14.5,NA,NA,5.75,NA,NA,NA
"Georgios Papagiannis_SAC",0,0,NA,NA,0,0,NA,NA,0,0,NA,0,NA
"Harry Giles_SAC",0,0,NA,NA,0,0,NA,NA,0,0,NA,0,NA
"Jack Cooley_SAC",0,0,NA,NA,0,0,NA,NA,0,0,NA,0,NA
"Justin Jackson_SAC",0,0,NA,NA,0,0,NA,NA,0,0,NA,7,NA
"Malachi Richardson_SAC",0,4,NA,NA,0,0,NA,NA,0,0,NA,0,NA
"Furkan Korkmaz_PHI",NA,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA
"Justin Anderson_PHI",NA,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA
"James Michael McAdoo_PHI",NA,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA
"Jacob Pullen_PHI",NA,NA,0,0,NA,0,0,NA,NA,0,NA,NA,NA
"Gary Payton II_MIL",NA,1,NA,0,NA,0,0,NA,0,NA,18.5,NA,9.5
"Rashad Vaughn_MIL",NA,0,NA,0,NA,0,0,NA,23.25,NA,6.5,NA,8
"DJ Wilson_MIL",NA,7.5,NA,0,NA,0,0,NA,0,NA,0,NA,0
"Sterling Brown_MIL",NA,0,NA,0,NA,0,0,NA,0,NA,0,NA,12.5
"Joel Bolomboy_MIL",NA,0,NA,0,NA,0,0,NA,0,NA,6.5,NA,0
"Jason Terry_MIL",NA,12,NA,6,NA,10.75,7.25,NA,0,NA,0,NA,0
"John Holland_CLE",NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0
"London Perrantes_CLE",NA,0,NA,0,NA,0,0,NA,0,0,NA,0,0
"Cedi Osman_CLE",NA,0,NA,13.5,NA,0,2.75,NA,0,12,NA,6,17.5
"Ante Zizic_CLE",NA,0,NA,0,NA,0,5.75,NA,0,4.5,NA,0,0
